序号,岗位名称,是否AI岗位,学历,工作经验,城市,城市等级,公司规模,月薪,岗位职责
414,新媒体运营专员,否,本科,1-3年,苏州,新一线城市,2000人以上,7700,撰写新媒体文案，策划选题并执行内容发布；协助策划线上活动，提升粉丝活跃度和粘性；负责微信公众号、微博等平台的日常内容更新与维护；跟踪热点话题，快速产出相关内容提升曝光
415,AI内容策划,是,大专,10年以上,深圳,一线城市,2000人以上,10600,建立AI内容质量评估标准，把控机器生成内容质量；利用AIGC工具批量生产图文、视频等多模态内容；探索RAG（检索增强生成）技术在内容生产中的应用
416,新媒体运营总监,否,博士,5-10年,深圳,一线城市,150-500人,18100,搭建并管理新媒体运营团队（10-50人）；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；代表公司参与行业峰会，维护媒体关系和品牌声誉
417,AIGC内容运营,是,本科,1-3年,深圳,一线城市,15-50人,7300,建立AIGC素材版权管理机制，确保合规使用；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；探索AI在内容创意、视觉设计、音视频制作中的落地应用；训练和调优Stable Diffusion/Midjourney等模型的提示词库；制定AIGC内容生产SOP和质量审核流程
418,活动运营,否,本科,1-3年,福州,二线城市,2000人以上,3900,研究行业优秀活动案例，建立活动创意库；制定活动方案（目标/预算/流程/风险预案）；活动结束后输出复盘报告，沉淀方法论
419,短视频运营,否,本科,1年以下,重庆,新一线城市,500-2000人,5800,对接达人/KOL资源，策划合作推广内容；策划短视频内容选题，撰写分镜脚本；分析短视频数据（完播率、点赞、涨粉）优化内容；跟进拍摄和后期剪辑，把控成片质量
420,AI内容策划,是,本科,3-5年,深圳,一线城市,500-2000人,9900,运用大语言模型辅助选题生成、内容大纲和初稿撰写；对比不同AI模型的内容产出效果，持续优化选题和prompt；建立AI内容质量评估标准，把控机器生成内容质量；探索RAG（检索增强生成）技术在内容生产中的应用
421,智能投放运营,是,硕士,5-10年,广州,一线城市,2000人以上,23400,探索AI在跨平台投放归因分析和预算最优分配中的应用；监控AI投放ROI，持续优化模型参数和投放策略；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；搭建基于机器学习的智能出价和预算分配模型；通过AI分析投放数据，自动调整人群定向和投放时段
422,用户运营,否,本科,1-3年,北京,一线城市,150-500人,6300,策划用户激励活动（签到/积分/会员权益）；建立用户反馈闭环机制，推动产品优化；搭建用户分层体系（新用户/活跃用户/沉睡用户）；通过用户调研和数据分析洞察用户需求
423,AI新媒体运营,是,本科,1年以下,郑州,新一线城市,500-2000人,4700,训练和调优AI模型以适应垂直领域的运营需求；利用AI分析用户画像和行为数据，制定精准运营策略；探索AI+运营的创新场景，提升团队整体效率
424,智能投放运营,是,本科,1年以下,南昌,二线城市,2000人以上,5800,搭建基于机器学习的智能出价和预算分配模型；探索AI在跨平台投放归因分析和预算最优分配中的应用；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；利用AI进行投放素材的智能生成和动态创意优化(DCO)
425,AI内容策划,是,大专,1-3年,长沙,新一线城市,150-500人,4300,对比不同AI模型的内容产出效果，持续优化选题和prompt；利用AIGC工具批量生产图文、视频等多模态内容；运用大语言模型辅助选题生成、内容大纲和初稿撰写
426,品牌运营,否,本科,1年以下,北京,一线城市,500-2000人,6000,协调外部媒体和KOL资源，扩大品牌声量；管理品牌官方账号矩阵，统一视觉和语言风格；制定品牌在新媒体渠道的传播策略和调性定位；分析品牌健康度指标（认知度/好感度/搜索指数）
427,新媒体运营经理,否,硕士,3-5年,深圳,一线城市,50-150人,14700,分析运营数据，优化内容方向和投放策略；制定新媒体矩阵整体运营策略和年度内容规划；带领运营团队完成各平台粉丝增长与互动目标；研究竞品动态和行业趋势，调整运营打法
428,智能营销运营,是,大专,3-5年,深圳,一线城市,2000人以上,11700,利用AI进行营销人群定向和智能投放策略优化；设计AI驱动的个性化推荐和营销自动化流程；搭建基于机器学习的用户生命周期价值(LTV)预测模型；结合大模型进行营销文案自动生成和多版本测试
429,新媒体运营经理,否,硕士,1-3年,西安,新一线城市,15-50人,8400,带领运营团队完成各平台粉丝增长与互动目标；分析运营数据，优化内容方向和投放策略；统筹跨部门协作，推动品牌传播项目落地；研究竞品动态和行业趋势，调整运营打法
430,短视频运营,否,硕士,3-5年,上海,一线城市,150-500人,10600,负责抖音、快手、视频号等短视频平台的账号运营；研究平台算法规则，提升视频推荐量和曝光；策划短视频内容选题，撰写分镜脚本；跟进拍摄和后期剪辑，把控成片质量；分析短视频数据（完播率、点赞、涨粉）优化内容
431,社群运营,否,本科,1-3年,绵阳,三线城市,2000人以上,3100,策划社群活动（秒杀/拼团/打卡/直播）提升转化率；分析社群数据（入群率、活跃度、转化率、流失率）；处理群内投诉和负面情绪，维护社群氛围
432,智能投放运营,是,硕士,1-3年,长沙,新一线城市,500-2000人,12400,利用AI进行投放素材的智能生成和动态创意优化(DCO)；探索AI在跨平台投放归因分析和预算最优分配中的应用；监控AI投放ROI，持续优化模型参数和投放策略；通过AI分析投放数据，自动调整人群定向和投放时段
433,社群运营,否,本科,1-3年,武汉,新一线城市,500-2000人,5800,策划社群活动（秒杀/拼团/打卡/直播）提升转化率；处理群内投诉和负面情绪，维护社群氛围；培养社群KOC，激励用户自发裂变拉新；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；制定社群SOP（群规/入群欢迎语/日常互动流程）
434,短视频运营,否,本科,5-10年,成都,新一线城市,2000人以上,7900,跟进拍摄和后期剪辑，把控成片质量；分析短视频数据（完播率、点赞、涨粉）优化内容；研究平台算法规则，提升视频推荐量和曝光
435,新媒体运营总监,否,大专,1-3年,北京,一线城市,150-500人,6200,推动新媒体与传统业务融合，探索商业变现路径；搭建并管理新媒体运营团队（10-50人）；代表公司参与行业峰会，维护媒体关系和品牌声誉；制定公司新媒体战略方向及中长期发展规划；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏
436,新媒体运营经理,否,本科,1-3年,深圳,一线城市,15-50人,7700,分析运营数据，优化内容方向和投放策略；研究竞品动态和行业趋势，调整运营打法；带领运营团队完成各平台粉丝增长与互动目标
437,AI短视频运营,是,本科,5-10年,福州,二线城市,2000人以上,9200,通过AI数字人技术打造24小时直播/短视频产能；分析AI生成的视频数据，迭代提示词和制作流程；使用AI工具进行批量视频剪辑、字幕生成和配音；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材
438,直播运营,否,博士,3-5年,深圳,一线城市,2000人以上,22700,策划直播主题和脚本，协调主播和商品资源；负责直播间的日常运营和排期管理；管理直播投流（千川/聚星），优化ROI
439,品牌运营,否,本科,3-5年,广州,一线城市,15-50人,6900,监测品牌舆情和口碑，及时进行声誉管理；管理品牌官方账号矩阵，统一视觉和语言风格；制定品牌在新媒体渠道的传播策略和调性定位；协调外部媒体和KOL资源，扩大品牌声量；策划品牌营销事件（联名/跨界/节日营销）
440,新媒体运营专员,否,硕士,3-5年,广州,一线城市,50-150人,9200,监测运营数据（阅读量、粉丝增长、互动率），输出周报；撰写新媒体文案，策划选题并执行内容发布；负责微信公众号、微博等平台的日常内容更新与维护；协助策划线上活动，提升粉丝活跃度和粘性
441,AI新媒体运营,是,博士,1-3年,济南,二线城市,15-50人,9700,利用AI分析用户画像和行为数据，制定精准运营策略；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材
442,短视频运营,否,本科,1-3年,南宁,二线城市,500-2000人,4400,负责抖音、快手、视频号等短视频平台的账号运营；跟进拍摄和后期剪辑，把控成片质量；策划短视频内容选题，撰写分镜脚本
443,活动运营,否,本科,1-3年,成都,新一线城市,150-500人,5700,活动结束后输出复盘报告，沉淀方法论；研究行业优秀活动案例，建立活动创意库；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；协调设计、产品、技术等资源推动活动上线
444,社群运营,否,本科,3-5年,南京,新一线城市,150-500人,6900,培养社群KOC，激励用户自发裂变拉新；分析社群数据（入群率、活跃度、转化率、流失率）；处理群内投诉和负面情绪，维护社群氛围；制定社群SOP（群规/入群欢迎语/日常互动流程）
445,AIGC内容运营,是,大专,3-5年,重庆,新一线城市,50-150人,6900,探索AI在内容创意、视觉设计、音视频制作中的落地应用；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；训练和调优Stable Diffusion/Midjourney等模型的提示词库；制定AIGC内容生产SOP和质量审核流程
446,活动运营,否,博士,1-3年,南昌,二线城市,150-500人,9100,监控活动实时数据，动态调整策略以提升效果；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；研究行业优秀活动案例，建立活动创意库；活动结束后输出复盘报告，沉淀方法论
447,AI数据分析运营,是,本科,1年以下,襄阳,三线城市,150-500人,3400,为运营团队提供AI数据洞察，驱动精细化运营决策；利用AI进行竞品数据采集和分析，输出竞争情报；开发AI驱动的自动化数据看板和预警系统；通过机器学习预测粉丝增长趋势和内容爆款概率；运用大模型进行非结构化运营数据（评论/反馈）的语义分析
448,AI短视频运营,是,大专,3-5年,北京,一线城市,50-150人,9800,探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；分析AI生成的视频数据，迭代提示词和制作流程
449,品牌运营,否,硕士,1-3年,杭州,一线城市,150-500人,8600,协调外部媒体和KOL资源，扩大品牌声量；分析品牌健康度指标（认知度/好感度/搜索指数）；策划品牌营销事件（联名/跨界/节日营销）
450,AI新媒体运营,是,本科,1年以下,广州,一线城市,2000人以上,7400,搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；利用AI分析用户画像和行为数据，制定精准运营策略；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容
451,用户运营,否,博士,5-10年,合肥,二线城市,150-500人,14400,维护核心用户社群，培养KOC并引导UGC产出；通过用户调研和数据分析洞察用户需求；策划用户激励活动（签到/积分/会员权益）；搭建用户分层体系（新用户/活跃用户/沉睡用户）
452,用户运营,否,本科,1年以下,上海,一线城市,500-2000人,6200,通过用户调研和数据分析洞察用户需求；建立用户反馈闭环机制，推动产品优化；维护核心用户社群，培养KOC并引导UGC产出
453,用户运营,否,博士,3-5年,成都,新一线城市,50-150人,11500,设计用户增长策略，提升拉新转化率和留存率；建立用户反馈闭环机制，推动产品优化；维护核心用户社群，培养KOC并引导UGC产出；搭建用户分层体系（新用户/活跃用户/沉睡用户）
454,AI短视频运营,是,博士,10年以上,南昌,二线城市,2000人以上,18800,使用AI工具进行批量视频剪辑、字幕生成和配音；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；分析AI生成的视频数据，迭代提示词和制作流程；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材
455,内容运营,否,本科,10年以上,苏州,新一线城市,2000人以上,9500,策划并撰写高质量原创内容（图文/视频脚本/专题）；挖掘用户内容偏好，产出针对性内容策略；分析内容数据（阅读量、完读率、转发率）持续迭代；建立内容素材库和分类标签体系
456,智能营销运营,是,本科,3-5年,襄阳,三线城市,2000人以上,6400,运用AI进行A/B测试分析和营销素材智能优化；利用AI进行营销人群定向和智能投放策略优化；通过自然语言处理(NLP)分析用户评论和舆情趋势；设计AI驱动的个性化推荐和营销自动化流程
457,新媒体运营总监,否,硕士,3-5年,杭州,一线城市,2000人以上,12800,代表公司参与行业峰会，维护媒体关系和品牌声誉；建立数据驱动的运营体系，对核心KPI负责；推动新媒体与传统业务融合，探索商业变现路径
458,AI内容策划,是,本科,1-3年,遵义,三线城市,150-500人,3300,探索RAG（检索增强生成）技术在内容生产中的应用；对比不同AI模型的内容产出效果，持续优化选题和prompt；结合AI数据分析用户内容偏好，制定内容策略方向；利用AIGC工具批量生产图文、视频等多模态内容；建立AI内容质量评估标准，把控机器生成内容质量
459,直播运营,否,本科,1-3年,上海,一线城市,2000人以上,10400,监控直播数据（在线人数/互动率/GMV）实时调整策略；管理直播投流（千川/聚星），优化ROI；策划直播主题和脚本，协调主播和商品资源
460,用户运营,否,大专,1-3年,宜宾,三线城市,2000人以上,1500,通过用户调研和数据分析洞察用户需求；搭建用户分层体系（新用户/活跃用户/沉睡用户）；维护核心用户社群，培养KOC并引导UGC产出；设计用户增长策略，提升拉新转化率和留存率；建立用户反馈闭环机制，推动产品优化
461,智能投放运营,是,博士,1-3年,岳阳,三线城市,150-500人,10700,监控AI投放ROI，持续优化模型参数和投放策略；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；通过AI分析投放数据，自动调整人群定向和投放时段
462,新媒体运营专员,否,硕士,3-5年,上海,一线城市,150-500人,11300,负责微信公众号、微博等平台的日常内容更新与维护；回复用户评论和私信，维护品牌形象；协助策划线上活动，提升粉丝活跃度和粘性；撰写新媒体文案，策划选题并执行内容发布；跟踪热点话题，快速产出相关内容提升曝光
463,社群运营,否,本科,1-3年,重庆,新一线城市,150-500人,5500,制定社群SOP（群规/入群欢迎语/日常互动流程）；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；分析社群数据（入群率、活跃度、转化率、流失率）
464,新媒体运营总监,否,本科,1-3年,长沙,新一线城市,150-500人,5600,制定公司新媒体战略方向及中长期发展规划；搭建并管理新媒体运营团队（10-50人）；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏
465,内容运营,否,本科,3-5年,苏州,新一线城市,500-2000人,6700,挖掘用户内容偏好，产出针对性内容策略；管理内容日历，确保各渠道内容按时发布；策划并撰写高质量原创内容（图文/视频脚本/专题）；优化内容标题、封面、关键词，提升SEO/推荐效果；分析内容数据（阅读量、完读率、转发率）持续迭代
466,活动运营,否,大专,1-3年,南京,新一线城市,500-2000人,5300,策划并执行线上营销活动（促销/拉新/裂变/节日活动）；协调设计、产品、技术等资源推动活动上线；研究行业优秀活动案例，建立活动创意库；活动结束后输出复盘报告，沉淀方法论
467,AI短视频运营,是,本科,1-3年,杭州,一线城市,2000人以上,9100,分析AI生成的视频数据，迭代提示词和制作流程；通过AI数字人技术打造24小时直播/短视频产能；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；运用AI分析短视频平台算法，优化发布时间和内容策略；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材
468,大模型提示词运营,是,本科,5-10年,上海,一线城市,500-2000人,18800,建立Prompt版本管理和A/B测试机制，持续迭代最优方案；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；搭建和维护企业的提示词（Prompt）模板库；探索CoT/ToT等提示工程技术提升复杂任务效果；编写Prompt工程规范文档，培训团队成员使用AI工具
469,内容运营,否,本科,1-3年,南京,新一线城市,150-500人,5200,优化内容标题、封面、关键词，提升SEO/推荐效果；建立内容素材库和分类标签体系；管理内容日历，确保各渠道内容按时发布；策划并撰写高质量原创内容（图文/视频脚本/专题）
